userid,R,F,M,R_SC,F_SC,M_SC
58,7,1,4.18,0.5419877614511579,-1.4539947293729687,-0.8157099877017052
59,2,7,14.19,-0.406552622570476,0.27215007937482477,0.740004441151721
60,9,2,2.11,0.9214039150598115,-1.1663039279150031,-1.1374211632987674
61,0,8,8.3,-0.7859687761791295,0.5598408808327904,-0.17539595704475033
62,1,4,6.9,-0.5962606993748027,-0.590922324999072,-0.3929783946466282
64,1,6,7.44,-0.5962606993748027,-0.01554072208314083,-0.30905374014304676
65,4,7,10.85,-0.027136468961822417,0.27215007937482477,0.22091491144438405
66,12,2,5.44,1.4905281454727919,-1.1663039279150031,-0.6198857938600151
67,12,6,11.57,1.4905281454727919,-0.01554072208314083,0.3328144507824927
68,3,5,8.7,-0.2168445457661492,-0.3032315235411064,-0.11322954630135691
69,1,8,18.77,-0.5962606993748027,0.5598408808327904,1.4518098441635785
70,6,1,0.22,0.3522796846468311,-1.4539947293729687,-1.4311574540613021
71,0,7,6.82,-0.7859687761791295,0.27215007937482477,-0.40541167679530693
72,0,6,8.66,-0.7859687761791295,-0.01554072208314083,-0.11944618737569615
73,18,2,3.52,2.6287766062987528,-1.1663039279150031,-0.9182845654283047
74,13,2,2.76,1.6802362222771188,-1.1663039279150031,-1.0364007458407527
75,22,3,7.28,3.38760891351606,-0.8786131264570376,-0.33392030444040427
76,1,9,15.81,-0.5962606993748027,0.8475316822907559,0.9917784046624655
77,1,9,8.09,-0.5962606993748027,0.8475316822907559,-0.20803332268503213
78,4,6,5.96,-0.027136468961822417,-0.01554072208314083,-0.5390694598936033
79,3,9,11.53,-0.2168445457661492,0.8475316822907559,0.3265978097081532
80,1,15,31.0,-0.5962606993748027,2.5736764910385492,3.3525478526428394
81,0,10,22.44,-0.7859687761791295,1.1352224837487215,2.0221866627342155
82,8,10,24.56,0.7316958382554847,1.1352224837487215,2.3516686396742017
83,0,11,22.36,-0.7859687761791295,1.422913285206687,2.0097533805855363
84,0,8,14.84,-0.7859687761791295,0.5598408808327904,0.8410248586097359
85,4,11,18.26,-0.027136468961822417,1.422913285206687,1.3725476704657518
86,0,10,18.2,-0.7859687761791295,1.1352224837487215,1.3632227088542423
87,21,3,4.96,3.197900836711733,-0.8786131264570376,-0.6944854867520875
88,27,1,2.11,4.336149297537694,-1.4539947293729687,-1.1374211632987674
89,2,5,10.36,-0.406552622570476,-0.3032315235411064,0.1447610582837268
90,0,4,4.43,-0.7859687761791295,-0.590922324999072,-0.7768559809870841
91,0,11,14.06,-0.7859687761791295,1.422913285206687,0.7198003576601183
92,2,10,10.08,-0.406552622570476,1.1352224837487215,0.10124457076335133
93,21,2,5.82,3.197900836711733,-1.1663039279150031,-0.5608277036537911
94,0,7,9.66,-0.7859687761791295,0.27215007937482477,0.035969839482788
95,5,11,10.31,0.16257160784250435,1.422913285206687,0.13699025694080275
96,8,4,4.07,0.7316958382554847,-0.590922324999072,-0.8328057506561384
97,6,4,7.48,0.3522796846468311,-0.590922324999072,-0.30283709906870737
98,0,9,20.9,-0.7859687761791295,0.8475316822907559,1.7828459813721496
99,5,2,7.92,0.16257160784250435,-1.1663039279150031,-0.23445404725097443
100,0,4,9.06,-0.7859687761791295,-0.590922324999072,-0.05727977663230243
101,1,5,5.15,-0.5962606993748027,-0.3032315235411064,-0.6649564416489755
102,3,2,3.99,-0.2168445457661492,-1.1663039279150031,-0.845239032804817
103,0,9,11.48,-0.7859687761791295,0.8475316822907559,0.3188270083652292
104,4,1,1.49,-0.027136468961822417,-1.4539947293729687,-1.2337790999510274
105,7,6,13.01,0.5419877614511579,-0.01554072208314083,0.5566135294587098
106,3,11,17.08,-0.2168445457661492,1.422913285206687,1.18915675877274
107,0,8,8.44,-0.7859687761791295,0.5598408808327904,-0.15363771328456274
108,1,8,15.82,-0.5962606993748027,0.5598408808327904,0.9933325649310504
109,3,10,18.12,-0.2168445457661492,1.1352224837487215,1.350789426705564
110,2,7,15.02,-0.406552622570476,0.27215007937482477,0.8689997434442629
111,1,8,19.57,-0.5962606993748027,0.5598408808327904,1.5761426656503659
