userid,recency(day),frequency(次),total_distance(km),R_SC,F_SC,M_SC,cluster,level
14024,6,4,7.5,0.3522796846468311,-0.590922324999072,-0.2997287785315378,2,A
14025,9,2,1.75,0.9214039150598116,-1.1663039279150031,-1.1933709329678217,1,B
14026,0,1,0.8,-0.7859687761791295,-1.4539947293729687,-1.3410161584833815,2,A
14027,2,2,3.65,-0.406552622570476,-1.1663039279150031,-0.8980804819367016,2,A
14028,1,3,4.51,-0.5962606993748027,-0.8786131264570376,-0.7644226988384054,2,A
14029,5,4,4.84,0.1625716078425043,-0.590922324999072,-0.7131354099751056,2,A
14030,8,4,5.01,0.7316958382554847,-0.590922324999072,-0.6867146854091634,2,A
14031,11,3,2.96,1.300820068668465,-0.8786131264570376,-1.0053175404690555,1,B
14032,8,1,1.58,0.7316958382554847,-1.4539947293729687,-1.219791657533764,2,A
14033,10,2,3.81,1.1111119918641383,-1.1663039279150031,-0.8732139176393442,1,B
14034,14,1,2.25,1.8699442990814448,-1.4539947293729687,-1.1156629195385794,1,B
14035,11,1,1.73,1.300820068668465,-1.4539947293729687,-1.1964792535049913,1,B
14036,4,4,3.68,-0.0271364689618224,-0.590922324999072,-0.8934180011309473,2,A
14037,1,6,10.95,-0.5962606993748027,-0.0155407220831408,0.2364565141302324,2,A
14038,8,8,6.45,0.7316958382554847,0.5598408808327904,-0.462915606732946,2,A
14039,0,7,5.6,-0.7859687761791295,0.2721500793748247,-0.5950192295626577,2,A
14040,0,5,10.97,-0.7859687761791295,-0.3032315235411064,0.2395648346674023,2,A
14041,0,1,4.13,-0.7859687761791295,-1.4539947293729687,-0.8234807890446293,2,A
14042,0,3,1.56,-0.7859687761791295,-0.8786131264570376,-1.2228999780709335,2,A
14043,3,7,18.55,-0.2168445457661492,0.2721500793748247,1.4176183182547122,0,S
14044,2,2,3.06,-0.406552622570476,-1.1663039279150031,-0.9897759377832072,2,A
14045,4,7,8.06,-0.0271364689618224,0.2721500793748247,-0.2126958034907865,2,A
14046,7,5,4.82,0.5419877614511579,-0.3032315235411064,-0.7162437305122752,2,A
14048,0,10,20.9,-0.7859687761791295,1.1352224837487217,1.7828459813721496,0,S
14050,10,3,4.88,1.1111119918641383,-0.8786131264570376,-0.7069187689007662,1,B
14051,0,8,11.07,-0.7859687761791295,0.5598408808327904,0.2551064373532506,0,S
14052,0,7,11.14,-0.7859687761791295,0.2721500793748247,0.2659855592333446,0,S
14053,0,3,3.18,-0.7859687761791295,-0.8786131264570376,-0.9711260145601892,2,A
14054,3,4,8.14,-0.2168445457661492,-0.590922324999072,-0.2002625213421078,2,A
14055,7,2,1.81,0.5419877614511579,-1.1663039279150031,-1.1840459713563125,2,A
14056,3,8,18.87,-0.2168445457661492,0.5598408808327904,1.467351446849427,0,S
14057,3,3,3.82,-0.2168445457661492,-0.8786131264570376,-0.8716597573707594,2,A
14059,13,1,0.15,1.6802362222771188,-1.4539947293729687,-1.4420365759413962,1,B
14060,1,5,11.87,-0.5962606993748027,-0.3032315235411064,0.3794392588400378,2,A
14061,3,5,7.06,-0.2168445457661492,-0.3032315235411064,-0.3681118303492708,2,A
14062,1,4,2.74,-0.5962606993748027,-0.590922324999072,-1.0395090663779225,2,A
14063,4,3,4.29,-0.0271364689618224,-0.8786131264570376,-0.7986142247472718,2,A
14064,8,2,2.21,0.7316958382554847,-1.1663039279150031,-1.1218795606129188,2,A
14065,4,8,11.16,-0.0271364689618224,0.5598408808327904,0.2690938797705142,0,S
14067,1,3,2.92,-0.5962606993748027,-0.8786131264570376,-1.0115341815433951,2,A
14068,0,5,11.43,-0.7859687761791295,-0.3032315235411064,0.3110562070223048,2,A
14069,0,6,8.43,-0.7859687761791295,-0.0155407220831408,-0.1551918735531475,2,A
14070,1,6,8.95,-0.5962606993748027,-0.0155407220831408,-0.0743755395867358,2,A
14071,5,3,5.7,0.1625716078425043,-0.8786131264570376,-0.5794776268768091,2,A
14072,0,5,8.82,-0.7859687761791295,-0.3032315235411064,-0.0945796230783386,2,A
14073,8,4,4.46,0.7316958382554847,-0.590922324999072,-0.7721935001813296,2,A
14074,11,2,1.32,1.300820068668465,-1.1663039279150031,-1.2601998245169697,1,B
14076,2,8,18.0,-0.406552622570476,0.5598408808327904,1.3321395034825456,0,S
14077,0,3,3.87,-0.7859687761791295,-0.8786131264570376,-0.8638889560278352,2,A
14078,1,2,2.15,-0.5962606993748027,-1.1663039279150031,-1.1312045222244278,2,A
14079,2,8,15.14,-0.406552622570476,0.5598408808327904,0.8876496666672812,0,S
14080,0,3,2.89,-0.7859687761791295,-0.8786131264570376,-1.0161966623491496,2,A
14081,0,11,18.31,-0.7859687761791295,1.422913285206687,1.3803184718086756,0,S
14082,4,3,3.2,-0.0271364689618224,-0.8786131264570376,-0.9680176940230196,2,A
14083,2,5,8.25,-0.406552622570476,-0.3032315235411064,-0.1831667583876746,2,A
14084,0,9,10.36,-0.7859687761791295,0.8475316822907559,0.1447610582837268,0,S
14085,1,3,6.48,-0.5962606993748027,-0.8786131264570376,-0.4582531259271915,2,A
14086,9,3,2.76,0.9214039150598116,-0.8786131264570376,-1.0364007458407527,1,B
14087,0,3,3.75,-0.7859687761791295,-0.8786131264570376,-0.8825388792508533,2,A
14088,6,3,7.65,0.3522796846468311,-0.8786131264570376,-0.276416374502765,2,A
14089,8,3,3.46,0.7316958382554847,-0.8786131264570376,-0.9276095270398136,2,A
14090,4,1,2.29,-0.0271364689618224,-1.4539947293729687,-1.10944627846424,2,A
14091,7,1,0.62,0.5419877614511579,-1.4539947293729687,-1.3689910433179089,2,A
14092,0,5,5.97,-0.7859687761791295,-0.3032315235411064,-0.5375152996250185,2,A
14093,10,1,0.59,1.1111119918641383,-1.4539947293729687,-1.3736535241236631,1,B
14094,0,3,2.65,-0.7859687761791295,-0.8786131264570376,-1.0534965087951855,2,A
14095,1,7,12.72,-0.5962606993748027,0.2721500793748247,0.5115428816697496,0,S
14096,0,4,5.08,-0.7859687761791295,-0.590922324999072,-0.6758355635290694,2,A
14097,1,7,6.85,-0.5962606993748027,0.2721500793748247,-0.4007491959895525,2,A
14098,5,4,5.71,0.1625716078425043,-0.590922324999072,-0.5779234666082244,2,A
14099,2,3,2.74,-0.406552622570476,-0.8786131264570376,-1.0395090663779225,2,A
14100,3,2,5.09,-0.2168445457661492,-1.1663039279150031,-0.6742814032604846,2,A
14101,1,5,4.61,-0.5962606993748027,-0.3032315235411064,-0.7488810961525569,2,A
14102,6,2,3.28,0.3522796846468311,-1.1663039279150031,-0.955584411874341,2,A
14103,0,4,7.33,-0.7859687761791295,-0.590922324999072,-0.3261495030974801,2,A
14104,8,2,4.04,0.7316958382554847,-1.1663039279150031,-0.8374682314618929,2,A
14105,0,4,6.58,-0.7859687761791295,-0.590922324999072,-0.4427115232413431,2,A
14106,0,7,8.54,-0.7859687761791295,0.2721500793748247,-0.1380961105987144,2,A
14107,2,6,7.88,-0.406552622570476,-0.0155407220831408,-0.2406706883253138,2,A
14108,1,8,20.24,-0.5962606993748027,0.5598408808327904,1.68027140364555,0,S
14109,12,2,6.48,1.490528145472792,-1.1663039279150031,-0.4582531259271915,1,B
14110,2,5,7.5,-0.406552622570476,-0.3032315235411064,-0.2997287785315378,2,A
14111,10,2,1.7,1.1111119918641383,-1.1663039279150031,-1.2011417343107458,1,B
14112,0,9,17.05,-0.7859687761791295,0.8475316822907559,1.1844942779669858,0,S
14113,4,2,1.03,-0.0271364689618224,-1.1663039279150031,-1.3052704723059303,2,A
14114,1,3,4.25,-0.5962606993748027,-0.8786131264570376,-0.8048308658216112,2,A
14115,3,4,2.86,-0.2168445457661492,-0.590922324999072,-1.0208591431549043,2,A
14116,1,5,7.71,-0.5962606993748027,-0.3032315235411064,-0.2670914128912561,2,A
14117,1,3,11.67,-0.5962606993748027,-0.8786131264570376,0.3483560534683411,2,A
14118,3,2,6.46,-0.2168445457661492,-1.1663039279150031,-0.4613614464643613,2,A
14119,1,5,8.1,-0.5962606993748027,-0.3032315235411064,-0.2064791624164473,2,A
14120,3,2,2.72,-0.2168445457661492,-1.1663039279150031,-1.042617386915092,2,A
14121,0,5,11.14,-0.7859687761791295,-0.3032315235411064,0.2659855592333446,2,A
14122,2,2,2.42,-0.406552622570476,-1.1663039279150031,-1.0892421949726372,2,A
14123,0,8,10.89,-0.7859687761791295,0.5598408808327904,0.2271315525187235,0,S
14124,1,4,2.39,-0.5962606993748027,-0.590922324999072,-1.0939046757783917,2,A
14125,0,2,1.71,-0.7859687761791295,-1.1663039279150031,-1.1995875740421609,2,A
14126,0,6,9.42,-0.7859687761791295,-0.0155407220831408,-0.0013300069632482,2,A
14127,4,6,3.89,-0.0271364689618224,-0.0155407220831408,-0.8607806354906654,2,A
14128,6,2,3.15,0.3522796846468311,-1.1663039279150031,-0.9757884953659436,2,A
14129,0,5,9.61,-0.7859687761791295,-0.3032315235411064,0.0281990381398636,2,A
14130,4,5,11.65,-0.0271364689618224,-0.3032315235411064,0.3452477329311714,2,A
14131,5,4,12.18,0.1625716078425043,-0.590922324999072,0.427618227166168,2,A
14132,3,4,2.75,-0.2168445457661492,-0.590922324999072,-1.0379549061093374,2,A
14133,1,4,4.56,-0.5962606993748027,-0.590922324999072,-0.7566518974954812,2,A
14134,0,2,1.06,-0.7859687761791295,-1.1663039279150031,-1.3006079915001756,2,A
14136,6,2,2.64,0.3522796846468311,-1.1663039279150031,-1.0550506690637709,2,A
14137,0,8,16.44,-0.7859687761791295,0.5598408808327904,1.0896905015833107,0,S
14138,5,4,5.94,0.1625716078425043,-0.590922324999072,-0.542177780430773,2,A
14139,1,6,3.99,-0.5962606993748027,-0.0155407220831408,-0.845239032804817,2,A
14140,3,5,8.71,-0.2168445457661492,-0.3032315235411064,-0.1116753860327718,2,A
14141,0,4,4.42,-0.7859687761791295,-0.590922324999072,-0.778410141255669,2,A
14142,1,6,8.84,-0.5962606993748027,-0.0155407220831408,-0.091471302541169,2,A
14143,0,3,3.22,-0.7859687761791295,-0.8786131264570376,-0.9649093734858498,2,A
14144,0,8,10.94,-0.7859687761791295,0.5598408808327904,0.2349023538616476,0,S
